t,p,d,f,t,t
1201905359,2015-07-01 00:00:00,2015-07-01 00:00:00,7.5,1.6600000858306885,9.960000038146973
1202989588,2015-07-01 00:00:03,2015-07-01 00:14:37,13.5,1.0,15.800000190734863
1203824585,2015-07-01 00:00:04,2015-07-01 00:08:53,8.5,1.9600000381469727,11.760000228881836
1201023459,2015-07-01 00:00:06,2015-07-01 00:04:44,5.0,0.0,6.300000190734863
1200131637,2015-07-01 00:00:07,2015-07-01 00:15:14,14.0,0.0,15.300000190734863
1201475277,2015-07-01 00:00:07,2015-07-01 00:19:04,15.5,0.0,16.799999237060547
1202210497,2015-07-01 00:00:09,2015-07-01 00:06:41,8.5,0.0,9.800000190734863
1202944231,2015-07-01 00:00:10,2015-07-01 00:13:56,11.5,2.559999942779541,15.359999656677246
1202628300,2015-07-01 00:00:10,2015-07-01 00:15:33,14.5,3.950000047683716,19.75
1200425150,2015-07-01 00:00:11,2015-07-01 00:16:39,14.5,3.1600000858306885,18.959999084472656
1201746944,2015-07-01 00:00:12,2015-07-01 00:08:33,8.5,1.9600000381469727,11.760000228881836
1200436613,2015-07-01 00:00:13,2015-07-01 00:06:01,5.5,0.0,6.800000190734863
1200864931,2015-07-01 00:00:13,2015-07-01 00:14:41,13.5,1.0,15.800000190734863
1202695666,2015-07-01 00:00:13,2015-07-01 00:15:01,13.5,4.440000057220459,19.239999771118164
1200842433,2015-07-01 00:00:14,2015-07-01 00:10:09,9.5,0.0,10.800000190734863
1200018648,2015-07-01 00:00:16,2015-07-01 00:02:57,6.0,0.0,7.300000190734863
1203057571,2015-07-01 00:00:16,2015-07-01 00:17:29,20.0,4.260000228881836,25.559999465942383
1201565885,2015-07-01 00:00:16,2015-07-01 00:20:09,17.5,4.699999809265137,23.5
1202255377,2015-07-01 00:00:19,2015-07-01 00:19:18,15.5,3.3600001335144043,20.15999984741211
1201894280,2015-07-01 00:00:19,2015-07-01 00:20:23,18.0,3.8600001335144043,23.15999984741211
1202650668,2015-07-01 00:00:20,2015-07-01 00:04:53,6.0,1.0,8.300000190734863
1201452450,2015-07-01 00:00:20,2015-07-01 00:11:07,8.5,1.9600000381469727,11.760000228881836
1200695721,2015-07-01 00:00:20,2015-07-01 00:25:03,23.0,1.0,25.299999237060547
1201565904,2015-07-01 00:00:21,2015-07-01 00:07:09,7.0,1.6600000858306885,9.960000038146973
1200966844,2015-07-01 00:00:21,2015-07-01 00:08:01,8.0,1.8600000143051147,11.15999984741211
1201441307,2015-07-01 00:00:21,2015-07-01 00:20:11,19.5,2.0,22.799999237060547
1200932713,2015-07-01 00:00:23,2015-07-01 00:10:51,10.0,2.25,13.550000190734863
1201441308,2015-07-01 00:00:25,2015-07-01 00:12:58,10.0,2.25,13.550000190734863
1201147746,2015-07-01 00:00:26,2015-07-01 00:12:01,12.0,2.0,15.300000190734863
1203452480,2015-07-01 00:00:27,2015-07-01 00:26:57,35.0,9.079999923706055,45.380001068115234
1203046109,2015-07-01 00:00:38,2015-07-01 00:00:43,22.700000762939453,0.0,23.0
1200267158,2015-07-01 00:00:38,2015-07-01 00:08:00,7.0,1.6600000858306885,9.960000038146973
1202955763,2015-07-01 00:00:38,2015-07-01 00:22:00,29.5,0.0,36.34000015258789
1201758297,2015-07-01 00:00:39,2015-07-01 00:11:53,13.0,1.7000000476837158,16.0
1202538044,2015-07-01 00:00:39,2015-07-01 00:32:06,52.0,7.0,65.33999633789062
1202368372,2015-07-01 00:00:40,2015-07-01 00:05:46,6.0,0.0,7.300000190734863
1203633165,2015-07-01 00:00:41,2015-07-01 00:03:33,3.5,0.9599999785423279,5.760000228881836
1202718223,2015-07-01 00:00:41,2015-07-01 00:04:40,5.0,1.25,7.550000190734863
1202210499,2015-07-01 00:00:42,2015-07-01 00:22:26,17.0,2.0,20.299999237060547
1202492682,2015-07-01 00:00:45,2015-07-01 00:08:46,8.0,1.850000023841858,11.149999618530273
1201068604,2015-07-01 00:00:46,2015-07-01 00:08:59,10.0,2.819999933242798,14.119999885559082
1203813283,2015-07-01 00:00:48,2015-07-01 00:08:00,7.5,1.7599999904632568,10.5600004196167
1200481856,2015-07-01 00:00:48,2015-07-01 00:11:27,10.5,1.0800000429153442,12.880000114440918
1202154267,2015-07-01 00:00:48,2015-07-01 00:22:43,25.5,0.0,26.799999237060547
1201973571,2015-07-01 00:00:51,2015-07-01 00:32:50,41.5,8.550000190734863,51.349998474121094
1201633895,2015-07-01 00:00:52,2015-07-01 00:27:52,35.5,11.039999961853027,47.84000015258789
1200470649,2015-07-01 00:00:54,2015-07-01 00:25:15,20.0,0.0,21.299999237060547
1200414009,2015-07-01 00:00:55,2015-07-01 00:05:37,5.5,1.7000000476837158,8.5
1200041184,2015-07-01 00:00:56,2015-07-01 00:04:33,4.5,0.699999988079071,6.5
1200921258,2015-07-01 00:00:56,2015-07-01 00:21:00,21.5,4.559999942779541,27.360000610351562
1202390724,2015-07-01 00:00:57,2015-07-01 00:18:01,15.5,3.3499999046325684,20.149999618530273
1202187988,2015-07-01 00:00:59,2015-07-01 00:07:32,8.0,1.0,10.300000190734863
1202018506,2015-07-01 00:01:01,2015-07-01 00:04:24,5.0,1.0,7.300000190734863
1203204435,2015-07-01 00:01:02,2015-07-01 00:03:51,5.0,0.0,6.300000190734863
1201452431,2015-07-01 00:01:02,2015-07-01 00:06:43,6.0,2.190000057220459,9.489999771118164
1201656422,2015-07-01 00:01:04,2015-07-01 00:06:52,7.0,0.0,8.300000190734863
1200831168,2015-07-01 00:01:06,2015-07-01 00:09:23,9.0,2.0,12.300000190734863
1201362116,2015-07-01 00:01:07,2015-07-01 00:03:31,4.0,0.0,5.300000190734863
1201781052,2015-07-01 00:01:07,2015-07-01 00:06:34,5.5,0.0,6.800000190734863
1202583077,2015-07-01 00:01:07,2015-07-01 00:13:42,15.5,5.039999961853027,21.84000015258789
1203350899,2015-07-01 00:01:08,2015-07-01 00:05:59,7.0,0.0,8.300000190734863
1202639403,2015-07-01 00:01:08,2015-07-01 00:12:32,11.5,0.0,12.800000190734863
1203091619,2015-07-01 00:01:08,2015-07-01 00:29:33,24.0,0.0,25.299999237060547
1200323634,2015-07-01 00:01:09,2015-07-01 00:08:22,9.0,1.0,11.300000190734863
1202413472,2015-07-01 00:01:12,2015-07-01 00:17:08,19.5,4.159999847412109,24.959999084472656
1201023463,2015-07-01 00:01:12,2015-07-01 00:25:41,22.5,5.949999809265137,29.75
1200639419,2015-07-01 00:01:13,2015-07-01 00:03:56,4.0,0.0,5.300000190734863
1203576657,2015-07-01 00:01:13,2015-07-01 00:06:32,8.0,1.7000000476837158,11.0
1201181622,2015-07-01 00:01:17,2015-07-01 00:05:12,5.0,1.0,7.300000190734863
1200978224,2015-07-01 00:01:18,2015-07-01 00:30:21,26.0,5.460000038146973,32.7599983215332
1201068599,2015-07-01 00:01:19,2015-07-01 00:09:12,8.0,1.8600000143051147,11.15999984741211
1203407430,2015-07-01 00:01:20,2015-07-01 00:03:33,4.5,1.159999966621399,6.960000038146973
